date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,2,0,0
2020-2-3,3,0,0
2020-2-4,3,0,0
2020-2-5,3,0,0
2020-2-6,3,0,0
2020-2-7,3,0,0
2020-2-8,3,0,0
2020-2-9,3,0,0
2020-2-10,3,0,0
2020-2-11,3,0,0
2020-2-12,3,0,0
2020-2-13,3,0,0
2020-2-14,3,0,0
2020-2-15,3,0,0
2020-2-16,3,0,3
2020-2-17,3,0,3
2020-2-18,3,0,3
2020-2-19,3,0,3
2020-2-20,3,0,3
2020-2-21,3,0,3
2020-2-22,3,0,3
2020-2-23,3,0,3
2020-2-24,3,0,3
2020-2-25,3,0,3
2020-2-26,3,0,3
2020-2-27,3,0,3
2020-2-28,3,0,3
2020-2-29,3,0,3
2020-3-1,3,0,3
2020-3-2,5,0,3
2020-3-3,5,0,3
2020-3-4,28,0,3
2020-3-5,30,0,3
2020-3-6,31,0,3
2020-3-7,34,0,3
2020-3-8,39,0,3
2020-3-9,43,0,3
2020-3-10,56,0,4
2020-3-11,62,1,4
2020-3-12,73,1,4
2020-3-13,82,2,4
2020-3-14,102,2,4
2020-3-15,113,2,13
2020-3-16,119,2,13
2020-3-17,142,3,14
2020-3-18,156,3,14
2020-3-19,194,4,15
2020-3-20,244,5,20
2020-3-21,330,4,23
2020-3-22,396,7,27
2020-3-23,499,10,27
2020-3-24,536,10,40
2020-3-25,657,12,43
2020-3-26,727,20,45
2020-3-27,887,20,73
2020-3-28,987,24,84
2020-3-29,1024,27,95
2020-3-30,1251,32,102
